name,scientificName,category,plantType,measurementType,description
มอนสเตอร่า เดลิซิโอซ่า,Monstera deliciosa,ไม้ใบ,ไม้ประดับ,ความสูง,ไม้ประดับใบสวย เหมาะสำหรับตกแต่งภายใน
ไทรใบสัก,Ficus lyrata,ไม้ใบ,ไม้ประดับ,ความสูง,ไม้ประดับใบใหญ่ เหมาะสำหรับตกแต่งห้อง
กุหลาบแดง,Rosa sp.,ไม้ดอก,ไม้ดอก,ขนาดกระถาง,ไม้ดอกสวยงาม เหมาะสำหรับจัดสวน
แคคตัสบอล,Echinocactus grusonii,แคคตัส,แคคตัส,ขนาดกระถาง,แคคตัสทรงกลม เหมาะสำหรับตกแต่งโต๊ะทำงาน
ไผ่สีสุก,Bambusa vulgaris,ไม้ไผ่,ไม้ล้อม,ขนาดลำต้น,ไม้ล้อมที่นิยมใช้ทำรั้ว
บอนไซไทร,Ficus microcarpa,บอนไซ,บอนไซ,ขนาดกระถาง,บอนไซที่นิยมเลี้ยงในบ้าน
ฟิโลเดนดรอน,Philodendron sp.,ไม้ใบ,ไม้ประดับ,ความสูง,ไม้ประดับใบเขียวสวย
กล้วยไม้แคทลียา,Cattleya sp.,กล้วยไม้,กล้วยไม้,ขนาดกระถาง,กล้วยไม้ดอกสวยงาม
ไทรเกาหลี,Ficus microcarpa,ไม้ใบ,ไม้ล้อม,ความสูง,ไม้ล้อมที่นิยมใช้ทำรั้ว
กันเกรา,Tectona grandis,ไม้ล้อม,ไม้ล้อม,ขนาดลำต้น,ไม้ล้อมที่นิยมใช้ทำรั้ว
หญ้าแฝก,Vetiveria zizanioides,ไม้คลุมดิน,ไม้คลุมดิน,ขนาดถุงดำ,ไม้คลุมดินที่นิยมใช้ป้องกันดินพังทลาย
ยางอินเดีย,Ficus elastica,ไม้ใบ,ไม้ประดับ,ความสูง,ไม้ประดับใบเขียวเข้ม เหมาะสำหรับตกแต่งภายใน
ยางใบเล็ก,Ficus benjamina,ไม้ใบ,ไม้ประดับ,ความสูง,ไม้ประดับใบเล็ก เหมาะสำหรับตกแต่งโต๊ะทำงาน
ยางใบใหญ่,Ficus macrophylla,ไม้ใบ,ไม้ประดับ,ความสูง,ไม้ประดับใบใหญ่ เหมาะสำหรับตกแต่งห้อง
ยางใบสัก,Ficus lyrata,ไม้ใบ,ไม้ประดับ,ความสูง,ไม้ประดับใบสัก เหมาะสำหรับตกแต่งห้อง
ยางใบกลม,Ficus microcarpa,ไม้ใบ,ไม้ประดับ,ความสูง,ไม้ประดับใบกลม เหมาะสำหรับตกแต่งโต๊ะทำงาน
ยางใบแหลม,Ficus triangularis,ไม้ใบ,ไม้ประดับ,ความสูง,ไม้ประดับใบแหลม เหมาะสำหรับตกแต่งโต๊ะทำงาน
ยางใบหยัก,Ficus lyrata,ไม้ใบ,ไม้ประดับ,ความสูง,ไม้ประดับใบหยัก เหมาะสำหรับตกแต่งห้อง
ยางใบเรียบ,Ficus elastica,ไม้ใบ,ไม้ประดับ,ความสูง,ไม้ประดับใบเรียบ เหมาะสำหรับตกแต่งภายใน
ยางใบขรุขระ,Ficus benjamina,ไม้ใบ,ไม้ประดับ,ความสูง,ไม้ประดับใบขรุขระ เหมาะสำหรับตกแต่งโต๊ะทำงาน
